Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT1996;;;Kvinnor;-24;9363
HT1996;;;Kvinnor;25-34;3510
HT1996;;;Kvinnor;35-;2173
HT1996;;;Kvinnor;Total;15046
HT1996;;;Män;-24;10329
HT1996;;;Män;25-34;3326
HT1996;;;Män;35-;1095
HT1996;;;Män;Total;14750
HT1996;;;Total;-24;19692
HT1996;;;Total;25-34;6836
HT1996;;;Total;35-;3268
HT1996;;;Total;Total;29796
HT1996;;Agronomexamen;Kvinnor;-24;92
HT1996;;Agronomexamen;Kvinnor;25-34;12
HT1996;;Agronomexamen;Kvinnor;35-;2
HT1996;;Agronomexamen;Kvinnor;Total;106
HT1996;;Agronomexamen;Män;-24;36
HT1996;;Agronomexamen;Män;25-34;10
HT1996;;Agronomexamen;Män;35-;2
HT1996;;Agronomexamen;Män;Total;48
HT1996;;Agronomexamen;Total;-24;128
HT1996;;Agronomexamen;Total;25-34;22
HT1996;;Agronomexamen;Total;35-;4
HT1996;;Agronomexamen;Total;Total;154
HT1996;;Apotekarexamen;Kvinnor;-24;45
HT1996;;Apotekarexamen;Kvinnor;25-34;7
HT1996;;Apotekarexamen;Kvinnor;Total;52
HT1996;;Apotekarexamen;Män;-24;19
HT1996;;Apotekarexamen;Män;25-34;3
HT1996;;Apotekarexamen;Män;35-;2
HT1996;;Apotekarexamen;Män;Total;24
HT1996;;Apotekarexamen;Total;-24;64
HT1996;;Apotekarexamen;Total;25-34;10
HT1996;;Apotekarexamen;Total;35-;2
HT1996;;Apotekarexamen;Total;Total;76
HT1996;;Arbetsterapeutexamen;Kvinnor;-24;132
HT1996;;Arbetsterapeutexamen;Kvinnor;25-34;53
HT1996;;Arbetsterapeutexamen;Kvinnor;35-;40
HT1996;;Arbetsterapeutexamen;Kvinnor;Total;225
HT1996;;Arbetsterapeutexamen;Män;-24;11
HT1996;;Arbetsterapeutexamen;Män;25-34;12
HT1996;;Arbetsterapeutexamen;Män;Total;23
HT1996;;Arbetsterapeutexamen;Total;-24;143
HT1996;;Arbetsterapeutexamen;Total;25-34;65
HT1996;;Arbetsterapeutexamen;Total;35-;40
HT1996;;Arbetsterapeutexamen;Total;Total;248
HT1996;;Arkitektexamen;Kvinnor;-24;82
HT1996;;Arkitektexamen;Kvinnor;25-34;27
HT1996;;Arkitektexamen;Kvinnor;35-;4
HT1996;;Arkitektexamen;Kvinnor;Total;113
HT1996;;Arkitektexamen;Män;-24;79
HT1996;;Arkitektexamen;Män;25-34;36
