Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2021;;;Kvinnor;-24;14920
HT2021;;;Kvinnor;25-34;7307
HT2021;;;Kvinnor;35-;5929
HT2021;;;Kvinnor;Total;28156
HT2021;;;Män;-24;13122
HT2021;;;Män;25-34;3885
HT2021;;;Män;35-;1675
HT2021;;;Män;Total;18682
HT2021;;;Total;-24;28042
HT2021;;;Total;25-34;11192
HT2021;;;Total;35-;7604
HT2021;;;Total;Total;46838
HT2021;;Apotekarexamen;Kvinnor;-24;153
HT2021;;Apotekarexamen;Kvinnor;25-34;15
HT2021;;Apotekarexamen;Kvinnor;35-;4
HT2021;;Apotekarexamen;Kvinnor;Total;172
HT2021;;Apotekarexamen;Män;-24;43
HT2021;;Apotekarexamen;Män;25-34;5
HT2021;;Apotekarexamen;Män;35-;2
HT2021;;Apotekarexamen;Män;Total;50
HT2021;;Apotekarexamen;Total;-24;196
HT2021;;Apotekarexamen;Total;25-34;20
HT2021;;Apotekarexamen;Total;35-;6
HT2021;;Apotekarexamen;Total;Total;222
HT2021;;Arbetsterapeutexamen;Kvinnor;-24;164
HT2021;;Arbetsterapeutexamen;Kvinnor;25-34;104
HT2021;;Arbetsterapeutexamen;Kvinnor;35-;78
HT2021;;Arbetsterapeutexamen;Kvinnor;Total;346
HT2021;;Arbetsterapeutexamen;Män;-24;38
HT2021;;Arbetsterapeutexamen;Män;25-34;29
HT2021;;Arbetsterapeutexamen;Män;35-;6
HT2021;;Arbetsterapeutexamen;Män;Total;73
HT2021;;Arbetsterapeutexamen;Total;-24;202
HT2021;;Arbetsterapeutexamen;Total;25-34;133
HT2021;;Arbetsterapeutexamen;Total;35-;84
HT2021;;Arbetsterapeutexamen;Total;Total;419
HT2021;;Arkitektexamen;Kvinnor;-24;175
HT2021;;Arkitektexamen;Kvinnor;25-34;38
HT2021;;Arkitektexamen;Kvinnor;35-;9
HT2021;;Arkitektexamen;Kvinnor;Total;222
HT2021;;Arkitektexamen;Män;-24;101
HT2021;;Arkitektexamen;Män;25-34;35
HT2021;;Arkitektexamen;Män;35-;12
