Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT2021;;Arkitektexamen;Män;Total;148
HT2021;;Arkitektexamen;Total;-24;276
HT2021;;Arkitektexamen;Total;25-34;73
HT2021;;Arkitektexamen;Total;35-;21
HT2021;;Arkitektexamen;Total;Total;370
HT2021;;Audionomexamen;Kvinnor;-24;47
HT2021;;Audionomexamen;Kvinnor;25-34;25
HT2021;;Audionomexamen;Kvinnor;35-;18
HT2021;;Audionomexamen;Kvinnor;Total;90
HT2021;;Audionomexamen;Män;-24;17
HT2021;;Audionomexamen;Män;25-34;18
HT2021;;Audionomexamen;Män;35-;13
HT2021;;Audionomexamen;Män;Total;48
HT2021;;Audionomexamen;Total;-24;64
HT2021;;Audionomexamen;Total;25-34;43
HT2021;;Audionomexamen;Total;35-;31
HT2021;;Audionomexamen;Total;Total;138
HT2021;;Barnmorskeexamen;Kvinnor;-24;12
HT2021;;Barnmorskeexamen;Kvinnor;25-34;173
HT2021;;Barnmorskeexamen;Kvinnor;35-;80
HT2021;;Barnmorskeexamen;Kvinnor;Total;265
HT2021;;Barnmorskeexamen;Män;25-34;1
HT2021;;Barnmorskeexamen;Män;35-;1
HT2021;;Barnmorskeexamen;Män;Total;2
HT2021;;Barnmorskeexamen;Total;-24;12
HT2021;;Barnmorskeexamen;Total;25-34;174
HT2021;;Barnmorskeexamen;Total;35-;81
HT2021;;Barnmorskeexamen;Total;Total;267
HT2021;;Biomedicinsk analytikerexamen;Kvinnor;-24;327
HT2021;;Biomedicinsk analytikerexamen;Kvinnor;25-34;89
HT2021;;Biomedicinsk analytikerexamen;Kvinnor;35-;32
HT2021;;Biomedicinsk analytikerexamen;Kvinnor;Total;448
HT2021;;Biomedicinsk analytikerexamen;Män;-24;76
HT2021;;Biomedicinsk analytikerexamen;Män;25-34;36
HT2021;;Biomedicinsk analytikerexamen;Män;35-;11
HT2021;;Biomedicinsk analytikerexamen;Män;Total;123
HT2021;;Biomedicinsk analytikerexamen;Total;-24;403
HT2021;;Biomedicinsk analytikerexamen;Total;25-34;125
HT2021;;Biomedicinsk analytikerexamen;Total;35-;43
HT2021;;Biomedicinsk analytikerexamen;Total;Total;571
HT2021;;Brandingenjörsexamen;Kvinnor;-24;28
HT2021;;Brandingenjörsexamen;Kvinnor;25-34;3
HT2021;;Brandingenjörsexamen;Kvinnor;Total;31
HT2021;;Brandingenjörsexamen;Män;-24;52
HT2021;;Brandingenjörsexamen;Män;25-34;11
HT2021;;Brandingenjörsexamen;Män;35-;2
HT2021;;Brandingenjörsexamen;Män;Total;65
HT2021;;Brandingenjörsexamen;Total;-24;80
HT2021;;Brandingenjörsexamen;Total;25-34;14
HT2021;;Brandingenjörsexamen;Total;35-;2
HT2021;;Brandingenjörsexamen;Total;Total;96
HT2021;;Civilekonomexamen;Kvinnor;-24;622
HT2021;;Civilekonomexamen;Kvinnor;25-34;38
HT2021;;Civilekonomexamen;Kvinnor;35-;5
HT2021;;Civilekonomexamen;Kvinnor;Total;665
HT2021;;Civilekonomexamen;Män;-24;732
HT2021;;Civilekonomexamen;Män;25-34;77
HT2021;;Civilekonomexamen;Män;35-;5
HT2021;;Civilekonomexamen;Män;Total;814
HT2021;;Civilekonomexamen;Total;-24;1354
HT2021;;Civilekonomexamen;Total;25-34;115
HT2021;;Civilekonomexamen;Total;35-;10
HT2021;;Civilekonomexamen;Total;Total;1479
HT2021;;Civilingenjörsexamen;Kvinnor;-24;2585
HT2021;;Civilingenjörsexamen;Kvinnor;25-34;147
HT2021;;Civilingenjörsexamen;Kvinnor;35-;21
HT2021;;Civilingenjörsexamen;Kvinnor;Total;2753
HT2021;;Civilingenjörsexamen;Män;-24;5771
HT2021;;Civilingenjörsexamen;Män;25-34;482
HT2021;;Civilingenjörsexamen;Män;35-;47
HT2021;;Civilingenjörsexamen;Män;Total;6300
HT2021;;Civilingenjörsexamen;Total;-24;8356
HT2021;;Civilingenjörsexamen;Total;25-34;629
HT2021;;Civilingenjörsexamen;Total;35-;68
HT2021;;Civilingenjörsexamen;Total;Total;9053
HT2021;;Dietistexamen;Kvinnor;-24;31
HT2021;;Dietistexamen;Kvinnor;25-34;16
HT2021;;Dietistexamen;Kvinnor;35-;4
HT2021;;Dietistexamen;Kvinnor;Total;51
HT2021;;Dietistexamen;Män;-24;1
HT2021;;Dietistexamen;Män;25-34;4
HT2021;;Dietistexamen;Män;35-;2
HT2021;;Dietistexamen;Män;Total;7
HT2021;;Dietistexamen;Total;-24;32
HT2021;;Dietistexamen;Total;25-34;20
HT2021;;Dietistexamen;Total;35-;6
HT2021;;Dietistexamen;Total;Total;58
HT2021;;Folkhögskollärarexamen;Kvinnor;25-34;18
HT2021;;Folkhögskollärarexamen;Kvinnor;35-;46
HT2021;;Folkhögskollärarexamen;Kvinnor;Total;64
HT2021;;Folkhögskollärarexamen;Män;25-34;5
HT2021;;Folkhögskollärarexamen;Män;35-;19
HT2021;;Folkhögskollärarexamen;Män;Total;24
HT2021;;Folkhögskollärarexamen;Total;25-34;23
HT2021;;Folkhögskollärarexamen;Total;35-;65
HT2021;;Folkhögskollärarexamen;Total;Total;88
HT2021;;Fysioterapeutexamen;Kvinnor;-24;152
HT2021;;Fysioterapeutexamen;Kvinnor;25-34;60
HT2021;;Fysioterapeutexamen;Kvinnor;35-;17
HT2021;;Fysioterapeutexamen;Kvinnor;Total;229
HT2021;;Fysioterapeutexamen;Män;-24;99
HT2021;;Fysioterapeutexamen;Män;25-34;52
HT2021;;Fysioterapeutexamen;Män;35-;5
HT2021;;Fysioterapeutexamen;Män;Total;156
HT2021;;Fysioterapeutexamen;Total;-24;251
HT2021;;Fysioterapeutexamen;Total;25-34;112
HT2021;;Fysioterapeutexamen;Total;35-;22
HT2021;;Fysioterapeutexamen;Total;Total;385
HT2021;;Förskollärarexamen;Kvinnor;-24;1140
HT2021;;Förskollärarexamen;Kvinnor;25-34;1014
HT2021;;Förskollärarexamen;Kvinnor;35-;551
HT2021;;Förskollärarexamen;Kvinnor;Total;2705
HT2021;;Förskollärarexamen;Män;-24;102
HT2021;;Förskollärarexamen;Män;25-34;80
HT2021;;Förskollärarexamen;Män;35-;26
HT2021;;Förskollärarexamen;Män;Total;208
HT2021;;Förskollärarexamen;Total;-24;1242
HT2021;;Förskollärarexamen;Total;25-34;1094
HT2021;;Förskollärarexamen;Total;35-;577
HT2021;;Förskollärarexamen;Total;Total;2913
HT2021;;Grundlärarexamen;Kvinnor;-24;1707
HT2021;;Grundlärarexamen;Kvinnor;25-34;1023
HT2021;;Grundlärarexamen;Kvinnor;35-;475
HT2021;;Grundlärarexamen;Kvinnor;Total;3205
HT2021;;Grundlärarexamen;Män;-24;462
HT2021;;Grundlärarexamen;Män;25-34;387
HT2021;;Grundlärarexamen;Män;35-;135
HT2021;;Grundlärarexamen;Män;Total;984
HT2021;;Grundlärarexamen;Total;-24;2169
HT2021;;Grundlärarexamen;Total;25-34;1410
HT2021;;Grundlärarexamen;Total;35-;610
HT2021;;Grundlärarexamen;Total;Total;4189
HT2021;;Hippologexamen;Kvinnor;-24;27
HT2021;;Hippologexamen;Kvinnor;25-34;5
HT2021;;Hippologexamen;Kvinnor;Total;32
HT2021;;Hippologexamen;Total;-24;27
HT2021;;Hippologexamen;Total;25-34;5
HT2021;;Hippologexamen;Total;Total;32
HT2021;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;-24;4
HT2021;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;25-34;28
HT2021;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;35-;25
HT2021;;Hälso- och sjukvårdskuratorsexamen;Kvinnor;Total;57
HT2021;;Hälso- och sjukvårdskuratorsexamen;Män;25-34;5
HT2021;;Hälso- och sjukvårdskuratorsexamen;Män;35-;6
HT2021;;Hälso- och sjukvårdskuratorsexamen;Män;Total;11
HT2021;;Hälso- och sjukvårdskuratorsexamen;Total;-24;4
HT2021;;Hälso- och sjukvårdskuratorsexamen;Total;25-34;33
HT2021;;Hälso- och sjukvårdskuratorsexamen;Total;35-;31
HT2021;;Hälso- och sjukvårdskuratorsexamen;Total;Total;68
HT2021;;Högskoleingenjörsexamen;Kvinnor;-24;946
HT2021;;Högskoleingenjörsexamen;Kvinnor;25-34;298
HT2021;;Högskoleingenjörsexamen;Kvinnor;35-;74
HT2021;;Högskoleingenjörsexamen;Kvinnor;Total;1318
HT2021;;Högskoleingenjörsexamen;Män;-24;2733
HT2021;;Högskoleingenjörsexamen;Män;25-34;854
HT2021;;Högskoleingenjörsexamen;Män;35-;202
HT2021;;Högskoleingenjörsexamen;Män;Total;3789
HT2021;;Högskoleingenjörsexamen;Total;-24;3679
HT2021;;Högskoleingenjörsexamen;Total;25-34;1152
HT2021;;Högskoleingenjörsexamen;Total;35-;276
HT2021;;Högskoleingenjörsexamen;Total;Total;5107
HT2021;;Juristexamen;Kvinnor;-24;793
HT2021;;Juristexamen;Kvinnor;25-34;83
HT2021;;Juristexamen;Kvinnor;35-;36
HT2021;;Juristexamen;Kvinnor;Total;912
HT2021;;Juristexamen;Män;-24;363
HT2021;;Juristexamen;Män;25-34;99
HT2021;;Juristexamen;Män;35-;36
HT2021;;Juristexamen;Män;Total;498
HT2021;;Juristexamen;Total;-24;1156
HT2021;;Juristexamen;Total;25-34;182
HT2021;;Juristexamen;Total;35-;72
HT2021;;Juristexamen;Total;Total;1410
HT2021;;Landskapsarkitektexamen;Kvinnor;-24;78
HT2021;;Landskapsarkitektexamen;Kvinnor;25-34;21
HT2021;;Landskapsarkitektexamen;Kvinnor;35-;11
HT2021;;Landskapsarkitektexamen;Kvinnor;Total;110
HT2021;;Landskapsarkitektexamen;Män;-24;20
HT2021;;Landskapsarkitektexamen;Män;25-34;7
HT2021;;Landskapsarkitektexamen;Män;Total;27
HT2021;;Landskapsarkitektexamen;Total;-24;98
HT2021;;Landskapsarkitektexamen;Total;25-34;28
HT2021;;Landskapsarkitektexamen;Total;35-;11
HT2021;;Landskapsarkitektexamen;Total;Total;137
HT2021;;Landskapsingenjörsexamen;Kvinnor;-24;23
HT2021;;Landskapsingenjörsexamen;Kvinnor;25-34;20
HT2021;;Landskapsingenjörsexamen;Kvinnor;35-;15
HT2021;;Landskapsingenjörsexamen;Kvinnor;Total;58
HT2021;;Landskapsingenjörsexamen;Män;-24;12
HT2021;;Landskapsingenjörsexamen;Män;25-34;10
HT2021;;Landskapsingenjörsexamen;Män;35-;2
HT2021;;Landskapsingenjörsexamen;Män;Total;24
HT2021;;Landskapsingenjörsexamen;Total;-24;35
HT2021;;Landskapsingenjörsexamen;Total;25-34;30
HT2021;;Landskapsingenjörsexamen;Total;35-;17
HT2021;;Landskapsingenjörsexamen;Total;Total;82
HT2021;;Lantmästarexamen;Kvinnor;-24;15
HT2021;;Lantmästarexamen;Kvinnor;25-34;3
HT2021;;Lantmästarexamen;Kvinnor;35-;1
HT2021;;Lantmästarexamen;Kvinnor;Total;19
HT2021;;Lantmästarexamen;Män;-24;20
HT2021;;Lantmästarexamen;Män;25-34;5
HT2021;;Lantmästarexamen;Män;Total;25
HT2021;;Lantmästarexamen;Total;-24;35
HT2021;;Lantmästarexamen;Total;25-34;8
HT2021;;Lantmästarexamen;Total;35-;1
HT2021;;Lantmästarexamen;Total;Total;44
HT2021;;Logopedexamen;Kvinnor;-24;106
HT2021;;Logopedexamen;Kvinnor;25-34;54
HT2021;;Logopedexamen;Kvinnor;35-;17
HT2021;;Logopedexamen;Kvinnor;Total;177
HT2021;;Logopedexamen;Män;-24;8
HT2021;;Logopedexamen;Män;25-34;7
HT2021;;Logopedexamen;Män;35-;3
HT2021;;Logopedexamen;Män;Total;18
HT2021;;Logopedexamen;Total;-24;114
HT2021;;Logopedexamen;Total;25-34;61
HT2021;;Logopedexamen;Total;35-;20
HT2021;;Logopedexamen;Total;Total;195
HT2021;;Läkarexamen;Kvinnor;-24;454
HT2021;;Läkarexamen;Kvinnor;25-34;69
HT2021;;Läkarexamen;Kvinnor;35-;27
HT2021;;Läkarexamen;Kvinnor;Total;550
HT2021;;Läkarexamen;Män;-24;261
HT2021;;Läkarexamen;Män;25-34;73
HT2021;;Läkarexamen;Män;35-;36
HT2021;;Läkarexamen;Män;Total;370
HT2021;;Läkarexamen;Total;-24;715
HT2021;;Läkarexamen;Total;25-34;142
HT2021;;Läkarexamen;Total;35-;63
HT2021;;Läkarexamen;Total;Total;920
HT2021;;Lärarexamen;Kvinnor;-24;1
HT2021;;Lärarexamen;Kvinnor;25-34;73
HT2021;;Lärarexamen;Kvinnor;35-;274
HT2021;;Lärarexamen;Kvinnor;Total;348
HT2021;;Lärarexamen;Män;-24;2
HT2021;;Lärarexamen;Män;25-34;31
HT2021;;Lärarexamen;Män;35-;105
HT2021;;Lärarexamen;Män;Total;138
HT2021;;Lärarexamen;Total;-24;3
HT2021;;Lärarexamen;Total;25-34;104
HT2021;;Lärarexamen;Total;35-;379
HT2021;;Lärarexamen;Total;Total;486
HT2021;;Officersexamen;Kvinnor;-24;69
HT2021;;Officersexamen;Kvinnor;25-34;8
HT2021;;Officersexamen;Kvinnor;Total;77
HT2021;;Officersexamen;Män;-24;138
HT2021;;Officersexamen;Män;25-34;50
HT2021;;Officersexamen;Män;35-;2
HT2021;;Officersexamen;Män;Total;190
HT2021;;Officersexamen;Total;-24;207
HT2021;;Officersexamen;Total;25-34;58
HT2021;;Officersexamen;Total;35-;2
HT2021;;Officersexamen;Total;Total;267
HT2021;;Optikerexamen;Kvinnor;-24;46
HT2021;;Optikerexamen;Kvinnor;25-34;25
HT2021;;Optikerexamen;Kvinnor;35-;4
HT2021;;Optikerexamen;Kvinnor;Total;75
HT2021;;Optikerexamen;Män;-24;20
HT2021;;Optikerexamen;Män;25-34;5
HT2021;;Optikerexamen;Män;35-;5
HT2021;;Optikerexamen;Män;Total;30
HT2021;;Optikerexamen;Total;-24;66
HT2021;;Optikerexamen;Total;25-34;30
HT2021;;Optikerexamen;Total;35-;9
HT2021;;Optikerexamen;Total;Total;105
HT2021;;Ortopedingenjörsexamen;Kvinnor;-24;7
HT2021;;Ortopedingenjörsexamen;Kvinnor;25-34;1
HT2021;;Ortopedingenjörsexamen;Kvinnor;Total;8
HT2021;;Ortopedingenjörsexamen;Män;-24;9
HT2021;;Ortopedingenjörsexamen;Män;25-34;2
HT2021;;Ortopedingenjörsexamen;Män;Total;11
HT2021;;Ortopedingenjörsexamen;Total;-24;16
HT2021;;Ortopedingenjörsexamen;Total;25-34;3
HT2021;;Ortopedingenjörsexamen;Total;Total;19
HT2021;;Psykologexamen;Kvinnor;-24;247
HT2021;;Psykologexamen;Kvinnor;25-34;76
HT2021;;Psykologexamen;Kvinnor;35-;45
HT2021;;Psykologexamen;Kvinnor;Total;368
HT2021;;Psykologexamen;Män;-24;110
HT2021;;Psykologexamen;Män;25-34;68
HT2021;;Psykologexamen;Män;35-;24
HT2021;;Psykologexamen;Män;Total;202
HT2021;;Psykologexamen;Total;-24;357
HT2021;;Psykologexamen;Total;25-34;144
HT2021;;Psykologexamen;Total;35-;69
HT2021;;Psykologexamen;Total;Total;570
HT2021;;Psykoterapeutexamen;Kvinnor;25-34;15
HT2021;;Psykoterapeutexamen;Kvinnor;35-;114
HT2021;;Psykoterapeutexamen;Kvinnor;Total;129
HT2021;;Psykoterapeutexamen;Män;25-34;1
HT2021;;Psykoterapeutexamen;Män;35-;23
HT2021;;Psykoterapeutexamen;Män;Total;24
HT2021;;Psykoterapeutexamen;Total;25-34;16
HT2021;;Psykoterapeutexamen;Total;35-;137
HT2021;;Psykoterapeutexamen;Total;Total;153
HT2021;;Receptarieexamen;Kvinnor;-24;131
HT2021;;Receptarieexamen;Kvinnor;25-34;75
HT2021;;Receptarieexamen;Kvinnor;35-;32
HT2021;;Receptarieexamen;Kvinnor;Total;238
HT2021;;Receptarieexamen;Män;-24;37
HT2021;;Receptarieexamen;Män;25-34;18
HT2021;;Receptarieexamen;Män;35-;9
HT2021;;Receptarieexamen;Män;Total;64
HT2021;;Receptarieexamen;Total;-24;168
HT2021;;Receptarieexamen;Total;25-34;93
HT2021;;Receptarieexamen;Total;35-;41
HT2021;;Receptarieexamen;Total;Total;302
HT2021;;Röntgensjuksköterskeexamen;Kvinnor;-24;95
HT2021;;Röntgensjuksköterskeexamen;Kvinnor;25-34;55
HT2021;;Röntgensjuksköterskeexamen;Kvinnor;35-;31
HT2021;;Röntgensjuksköterskeexamen;Kvinnor;Total;181
HT2021;;Röntgensjuksköterskeexamen;Män;-24;29
HT2021;;Röntgensjuksköterskeexamen;Män;25-34;45
HT2021;;Röntgensjuksköterskeexamen;Män;35-;14
HT2021;;Röntgensjuksköterskeexamen;Män;Total;88
HT2021;;Röntgensjuksköterskeexamen;Total;-24;124
HT2021;;Röntgensjuksköterskeexamen;Total;25-34;100
HT2021;;Röntgensjuksköterskeexamen;Total;35-;45
HT2021;;Röntgensjuksköterskeexamen;Total;Total;269
HT2021;;Sjukhusfysikerexamen;Kvinnor;-24;29
HT2021;;Sjukhusfysikerexamen;Kvinnor;25-34;1
HT2021;;Sjukhusfysikerexamen;Kvinnor;Total;30
HT2021;;Sjukhusfysikerexamen;Män;-24;15
HT2021;;Sjukhusfysikerexamen;Män;25-34;4
HT2021;;Sjukhusfysikerexamen;Män;35-;1
HT2021;;Sjukhusfysikerexamen;Män;Total;20
HT2021;;Sjukhusfysikerexamen;Total;-24;44
HT2021;;Sjukhusfysikerexamen;Total;25-34;5
HT2021;;Sjukhusfysikerexamen;Total;35-;1
HT2021;;Sjukhusfysikerexamen;Total;Total;50
HT2021;;Sjuksköterskeexamen;Kvinnor;-24;1612
HT2021;;Sjuksköterskeexamen;Kvinnor;25-34;695
HT2021;;Sjuksköterskeexamen;Kvinnor;35-;416
HT2021;;Sjuksköterskeexamen;Kvinnor;Total;2723
HT2021;;Sjuksköterskeexamen;Män;-24;214
HT2021;;Sjuksköterskeexamen;Män;25-34;199
HT2021;;Sjuksköterskeexamen;Män;35-;108
HT2021;;Sjuksköterskeexamen;Män;Total;521
HT2021;;Sjuksköterskeexamen;Total;-24;1826
HT2021;;Sjuksköterskeexamen;Total;25-34;894
HT2021;;Sjuksköterskeexamen;Total;35-;524
HT2021;;Sjuksköterskeexamen;Total;Total;3244
HT2021;;Sjöingenjörsexamen;Kvinnor;-24;3
HT2021;;Sjöingenjörsexamen;Kvinnor;25-34;2
HT2021;;Sjöingenjörsexamen;Kvinnor;Total;5
HT2021;;Sjöingenjörsexamen;Män;-24;58
HT2021;;Sjöingenjörsexamen;Män;25-34;17
HT2021;;Sjöingenjörsexamen;Män;35-;3
HT2021;;Sjöingenjörsexamen;Män;Total;78
HT2021;;Sjöingenjörsexamen;Total;-24;61
HT2021;;Sjöingenjörsexamen;Total;25-34;19
HT2021;;Sjöingenjörsexamen;Total;35-;3
HT2021;;Sjöingenjörsexamen;Total;Total;83
HT2021;;Sjökaptensexamen;Kvinnor;-24;14
HT2021;;Sjökaptensexamen;Kvinnor;25-34;7
HT2021;;Sjökaptensexamen;Kvinnor;Total;21
HT2021;;Sjökaptensexamen;Män;-24;71
HT2021;;Sjökaptensexamen;Män;25-34;29
HT2021;;Sjökaptensexamen;Män;35-;16
HT2021;;Sjökaptensexamen;Män;Total;116
HT2021;;Sjökaptensexamen;Total;-24;85
HT2021;;Sjökaptensexamen;Total;25-34;36
HT2021;;Sjökaptensexamen;Total;35-;16
HT2021;;Sjökaptensexamen;Total;Total;137
HT2021;;Skogsmästarexamen;Kvinnor;-24;9
HT2021;;Skogsmästarexamen;Kvinnor;25-34;6
HT2021;;Skogsmästarexamen;Kvinnor;35-;1
HT2021;;Skogsmästarexamen;Kvinnor;Total;16
HT2021;;Skogsmästarexamen;Män;-24;17
HT2021;;Skogsmästarexamen;Män;25-34;13
HT2021;;Skogsmästarexamen;Män;35-;2
HT2021;;Skogsmästarexamen;Män;Total;32
HT2021;;Skogsmästarexamen;Total;-24;26
HT2021;;Skogsmästarexamen;Total;25-34;19
HT2021;;Skogsmästarexamen;Total;35-;3
HT2021;;Skogsmästarexamen;Total;Total;48
HT2021;;Socionomexamen;Kvinnor;-24;1072
HT2021;;Socionomexamen;Kvinnor;25-34;411
HT2021;;Socionomexamen;Kvinnor;35-;209
HT2021;;Socionomexamen;Kvinnor;Total;1692
HT2021;;Socionomexamen;Män;-24;183
HT2021;;Socionomexamen;Män;25-34;121
HT2021;;Socionomexamen;Män;35-;52
HT2021;;Socionomexamen;Män;Total;356
HT2021;;Socionomexamen;Total;-24;1255
HT2021;;Socionomexamen;Total;25-34;532
HT2021;;Socionomexamen;Total;35-;261
HT2021;;Socionomexamen;Total;Total;2048
HT2021;;Specialistsjuksköterskeexamen;Kvinnor;-24;37
HT2021;;Specialistsjuksköterskeexamen;Kvinnor;25-34;1312
HT2021;;Specialistsjuksköterskeexamen;Kvinnor;35-;1433
HT2021;;Specialistsjuksköterskeexamen;Kvinnor;Total;2782
HT2021;;Specialistsjuksköterskeexamen;Män;-24;6
HT2021;;Specialistsjuksköterskeexamen;Män;25-34;200
HT2021;;Specialistsjuksköterskeexamen;Män;35-;185
HT2021;;Specialistsjuksköterskeexamen;Män;Total;391
HT2021;;Specialistsjuksköterskeexamen;Total;-24;43
HT2021;;Specialistsjuksköterskeexamen;Total;25-34;1512
HT2021;;Specialistsjuksköterskeexamen;Total;35-;1618
HT2021;;Specialistsjuksköterskeexamen;Total;Total;3173
HT2021;;Speciallärarexamen;Kvinnor;25-34;81
HT2021;;Speciallärarexamen;Kvinnor;35-;429
HT2021;;Speciallärarexamen;Kvinnor;Total;510
HT2021;;Speciallärarexamen;Män;25-34;7
HT2021;;Speciallärarexamen;Män;35-;34
HT2021;;Speciallärarexamen;Män;Total;41
HT2021;;Speciallärarexamen;Total;25-34;88
HT2021;;Speciallärarexamen;Total;35-;463
HT2021;;Speciallärarexamen;Total;Total;551
HT2021;;Specialpedagogexamen;Kvinnor;25-34;141
HT2021;;Specialpedagogexamen;Kvinnor;35-;519
HT2021;;Specialpedagogexamen;Kvinnor;Total;660
HT2021;;Specialpedagogexamen;Män;25-34;11
HT2021;;Specialpedagogexamen;Män;35-;40
HT2021;;Specialpedagogexamen;Män;Total;51
HT2021;;Specialpedagogexamen;Total;25-34;152
HT2021;;Specialpedagogexamen;Total;35-;559
HT2021;;Specialpedagogexamen;Total;Total;711
HT2021;;Studie- och yrkesvägledarexamen;Kvinnor;-24;62
HT2021;;Studie- och yrkesvägledarexamen;Kvinnor;25-34;120
HT2021;;Studie- och yrkesvägledarexamen;Kvinnor;35-;108
HT2021;;Studie- och yrkesvägledarexamen;Kvinnor;Total;290
HT2021;;Studie- och yrkesvägledarexamen;Män;-24;15
HT2021;;Studie- och yrkesvägledarexamen;Män;25-34;45
HT2021;;Studie- och yrkesvägledarexamen;Män;35-;16
HT2021;;Studie- och yrkesvägledarexamen;Män;Total;76
HT2021;;Studie- och yrkesvägledarexamen;Total;-24;77
HT2021;;Studie- och yrkesvägledarexamen;Total;25-34;165
HT2021;;Studie- och yrkesvägledarexamen;Total;35-;124
HT2021;;Studie- och yrkesvägledarexamen;Total;Total;366
HT2021;;Tandhygienistexamen;Kvinnor;-24;121
HT2021;;Tandhygienistexamen;Kvinnor;25-34;49
HT2021;;Tandhygienistexamen;Kvinnor;35-;33
HT2021;;Tandhygienistexamen;Kvinnor;Total;203
HT2021;;Tandhygienistexamen;Män;-24;20
HT2021;;Tandhygienistexamen;Män;25-34;9
HT2021;;Tandhygienistexamen;Män;35-;4
HT2021;;Tandhygienistexamen;Män;Total;33
HT2021;;Tandhygienistexamen;Total;-24;141
HT2021;;Tandhygienistexamen;Total;25-34;58
HT2021;;Tandhygienistexamen;Total;35-;37
HT2021;;Tandhygienistexamen;Total;Total;236
HT2021;;Tandläkarexamen;Kvinnor;-24;144
HT2021;;Tandläkarexamen;Kvinnor;25-34;15
HT2021;;Tandläkarexamen;Kvinnor;35-;7
HT2021;;Tandläkarexamen;Kvinnor;Total;166
HT2021;;Tandläkarexamen;Män;-24;77
HT2021;;Tandläkarexamen;Män;25-34;15
HT2021;;Tandläkarexamen;Män;35-;5
HT2021;;Tandläkarexamen;Män;Total;97
HT2021;;Tandläkarexamen;Total;-24;221
HT2021;;Tandläkarexamen;Total;25-34;30
HT2021;;Tandläkarexamen;Total;35-;12
HT2021;;Tandläkarexamen;Total;Total;263
HT2021;;Tandteknikerexamen;Kvinnor;-24;43
HT2021;;Tandteknikerexamen;Kvinnor;25-34;18
HT2021;;Tandteknikerexamen;Kvinnor;35-;6
HT2021;;Tandteknikerexamen;Kvinnor;Total;67
HT2021;;Tandteknikerexamen;Män;-24;20
HT2021;;Tandteknikerexamen;Män;25-34;3
HT2021;;Tandteknikerexamen;Män;35-;1
HT2021;;Tandteknikerexamen;Män;Total;24
HT2021;;Tandteknikerexamen;Total;-24;63
HT2021;;Tandteknikerexamen;Total;25-34;21
HT2021;;Tandteknikerexamen;Total;35-;7
HT2021;;Tandteknikerexamen;Total;Total;91
HT2021;;Trädgårdsingenjörsexamen;Kvinnor;-24;36
HT2021;;Trädgårdsingenjörsexamen;Kvinnor;25-34;39
HT2021;;Trädgårdsingenjörsexamen;Kvinnor;35-;13
HT2021;;Trädgårdsingenjörsexamen;Kvinnor;Total;88
HT2021;;Trädgårdsingenjörsexamen;Män;-24;7
HT2021;;Trädgårdsingenjörsexamen;Män;25-34;12
HT2021;;Trädgårdsingenjörsexamen;Män;35-;2
HT2021;;Trädgårdsingenjörsexamen;Män;Total;21
HT2021;;Trädgårdsingenjörsexamen;Total;-24;43
HT2021;;Trädgårdsingenjörsexamen;Total;25-34;51
