Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT1995;;;Kvinnor;-24;8896
HT1995;;;Kvinnor;25-34;3013
HT1995;;;Kvinnor;35-;1862
HT1995;;;Kvinnor;Total;13771
HT1995;;;Män;-24;10210
HT1995;;;Män;25-34;3064
HT1995;;;Män;35-;975
HT1995;;;Män;Total;14249
HT1995;;;Total;-24;19106
HT1995;;;Total;25-34;6077
HT1995;;;Total;35-;2837
HT1995;;;Total;Total;28020
HT1995;;Apotekarexamen;Kvinnor;-24;43
HT1995;;Apotekarexamen;Kvinnor;25-34;5
HT1995;;Apotekarexamen;Kvinnor;35-;1
HT1995;;Apotekarexamen;Kvinnor;Total;49
HT1995;;Apotekarexamen;Män;-24;16
HT1995;;Apotekarexamen;Män;25-34;5
HT1995;;Apotekarexamen;Män;Total;21
HT1995;;Apotekarexamen;Total;-24;59
HT1995;;Apotekarexamen;Total;25-34;10
HT1995;;Apotekarexamen;Total;35-;1
HT1995;;Apotekarexamen;Total;Total;70
HT1995;;Arbetsterapeutexamen;Kvinnor;-24;141
HT1995;;Arbetsterapeutexamen;Kvinnor;25-34;38
HT1995;;Arbetsterapeutexamen;Kvinnor;35-;25
HT1995;;Arbetsterapeutexamen;Kvinnor;Total;204
HT1995;;Arbetsterapeutexamen;Män;-24;13
HT1995;;Arbetsterapeutexamen;Män;25-34;12
HT1995;;Arbetsterapeutexamen;Män;35-;4
HT1995;;Arbetsterapeutexamen;Män;Total;29
HT1995;;Arbetsterapeutexamen;Total;-24;154
HT1995;;Arbetsterapeutexamen;Total;25-34;50
HT1995;;Arbetsterapeutexamen;Total;35-;29
HT1995;;Arbetsterapeutexamen;Total;Total;233
HT1995;;Arkitektexamen;Kvinnor;-24;86
HT1995;;Arkitektexamen;Kvinnor;25-34;25
HT1995;;Arkitektexamen;Kvinnor;35-;3
HT1995;;Arkitektexamen;Kvinnor;Total;114
HT1995;;Arkitektexamen;Män;-24;74
HT1995;;Arkitektexamen;Män;25-34;45
HT1995;;Arkitektexamen;Män;35-;3
HT1995;;Arkitektexamen;Män;Total;122
HT1995;;Arkitektexamen;Total;-24;160
HT1995;;Arkitektexamen;Total;25-34;70
HT1995;;Arkitektexamen;Total;35-;6
HT1995;;Arkitektexamen;Total;Total;236
HT1995;;Barn- och ungdomspedagogisk examen;Kvinnor;-24;1239
HT1995;;Barn- och ungdomspedagogisk examen;Kvinnor;25-34;293
HT1995;;Barn- och ungdomspedagogisk examen;Kvinnor;35-;132
HT1995;;Barn- och ungdomspedagogisk examen;Kvinnor;Total;1664
HT1995;;Barn- och ungdomspedagogisk examen;Män;-24;234
HT1995;;Barn- och ungdomspedagogisk examen;Män;25-34;95
HT1995;;Barn- och ungdomspedagogisk examen;Män;35-;15
HT1995;;Barn- och ungdomspedagogisk examen;Män;Total;344
HT1995;;Barn- och ungdomspedagogisk examen;Total;-24;1473
HT1995;;Barn- och ungdomspedagogisk examen;Total;25-34;388
HT1995;;Barn- och ungdomspedagogisk examen;Total;35-;147
HT1995;;Barn- och ungdomspedagogisk examen;Total;Total;2008
HT1995;;Barnmorskeexamen;Kvinnor;-24;4
HT1995;;Barnmorskeexamen;Kvinnor;25-34;40
HT1995;;Barnmorskeexamen;Kvinnor;35-;40
HT1995;;Barnmorskeexamen;Kvinnor;Total;84
HT1995;;Barnmorskeexamen;Män;25-34;1
HT1995;;Barnmorskeexamen;Män;Total;1
HT1995;;Barnmorskeexamen;Total;-24;4
HT1995;;Barnmorskeexamen;Total;25-34;41
HT1995;;Barnmorskeexamen;Total;35-;40
HT1995;;Barnmorskeexamen;Total;Total;85
HT1995;;Bildlärarexamen;Kvinnor;-24;10
HT1995;;Bildlärarexamen;Kvinnor;25-34;5
HT1995;;Bildlärarexamen;Kvinnor;35-;1
HT1995;;Bildlärarexamen;Kvinnor;Total;16
HT1995;;Bildlärarexamen;Män;-24;4
HT1995;;Bildlärarexamen;Män;25-34;4
HT1995;;Bildlärarexamen;Män;35-;1
HT1995;;Bildlärarexamen;Män;Total;9
HT1995;;Bildlärarexamen;Total;-24;14
HT1995;;Bildlärarexamen;Total;25-34;9
HT1995;;Bildlärarexamen;Total;35-;2
HT1995;;Bildlärarexamen;Total;Total;25
HT1995;;Brandingenjörsexamen;Kvinnor;-24;8
HT1995;;Brandingenjörsexamen;Kvinnor;25-34;1
HT1995;;Brandingenjörsexamen;Kvinnor;Total;9
HT1995;;Brandingenjörsexamen;Män;-24;16
HT1995;;Brandingenjörsexamen;Män;25-34;8
HT1995;;Brandingenjörsexamen;Män;Total;24
HT1995;;Brandingenjörsexamen;Total;-24;24
HT1995;;Brandingenjörsexamen;Total;25-34;9
HT1995;;Brandingenjörsexamen;Total;Total;33
HT1995;;Civilingenjörsexamen;Kvinnor;-24;1365
HT1995;;Civilingenjörsexamen;Kvinnor;25-34;121
HT1995;;Civilingenjörsexamen;Kvinnor;35-;21
HT1995;;Civilingenjörsexamen;Kvinnor;Total;1507
HT1995;;Civilingenjörsexamen;Män;-24;4146
HT1995;;Civilingenjörsexamen;Män;25-34;677
HT1995;;Civilingenjörsexamen;Män;35-;83
HT1995;;Civilingenjörsexamen;Män;Total;4906
