Termin;Lärosäte;Program;Kön;Åldersgrupp;Antal
HT1997;;;Kvinnor;-24;9518
HT1997;;;Kvinnor;25-34;3784
HT1997;;;Kvinnor;35-;2185
HT1997;;;Kvinnor;Total;15487
HT1997;;;Män;-24;10387
HT1997;;;Män;25-34;3598
HT1997;;;Män;35-;1110
HT1997;;;Män;Total;15095
HT1997;;;Total;-24;19905
HT1997;;;Total;25-34;7382
HT1997;;;Total;35-;3295
HT1997;;;Total;Total;30582
HT1997;;Agronomexamen;Kvinnor;-24;103
HT1997;;Agronomexamen;Kvinnor;25-34;19
HT1997;;Agronomexamen;Kvinnor;35-;1
HT1997;;Agronomexamen;Kvinnor;Total;123
HT1997;;Agronomexamen;Män;-24;38
HT1997;;Agronomexamen;Män;25-34;6
HT1997;;Agronomexamen;Män;35-;2
HT1997;;Agronomexamen;Män;Total;46
HT1997;;Agronomexamen;Total;-24;141
HT1997;;Agronomexamen;Total;25-34;25
HT1997;;Agronomexamen;Total;35-;3
HT1997;;Agronomexamen;Total;Total;169
HT1997;;Apotekarexamen;Kvinnor;-24;56
HT1997;;Apotekarexamen;Kvinnor;25-34;12
HT1997;;Apotekarexamen;Kvinnor;Total;68
HT1997;;Apotekarexamen;Män;-24;24
HT1997;;Apotekarexamen;Män;25-34;5
HT1997;;Apotekarexamen;Män;35-;1
HT1997;;Apotekarexamen;Män;Total;30
HT1997;;Apotekarexamen;Total;-24;80
HT1997;;Apotekarexamen;Total;25-34;17
HT1997;;Apotekarexamen;Total;35-;1
HT1997;;Apotekarexamen;Total;Total;98
HT1997;;Arbetsterapeutexamen;Kvinnor;-24;115
HT1997;;Arbetsterapeutexamen;Kvinnor;25-34;72
HT1997;;Arbetsterapeutexamen;Kvinnor;35-;43
HT1997;;Arbetsterapeutexamen;Kvinnor;Total;230
HT1997;;Arbetsterapeutexamen;Män;-24;11
HT1997;;Arbetsterapeutexamen;Män;25-34;9
HT1997;;Arbetsterapeutexamen;Män;35-;8
HT1997;;Arbetsterapeutexamen;Män;Total;28
HT1997;;Arbetsterapeutexamen;Total;-24;126
HT1997;;Arbetsterapeutexamen;Total;25-34;81
HT1997;;Arbetsterapeutexamen;Total;35-;51
HT1997;;Arbetsterapeutexamen;Total;Total;258
HT1997;;Arkitektexamen;Kvinnor;-24;99
HT1997;;Arkitektexamen;Kvinnor;25-34;25
HT1997;;Arkitektexamen;Kvinnor;35-;2
HT1997;;Arkitektexamen;Kvinnor;Total;126
HT1997;;Arkitektexamen;Män;-24;75
HT1997;;Arkitektexamen;Män;25-34;31
HT1997;;Arkitektexamen;Män;35-;5
HT1997;;Arkitektexamen;Män;Total;111
HT1997;;Arkitektexamen;Total;-24;174
HT1997;;Arkitektexamen;Total;25-34;56
HT1997;;Arkitektexamen;Total;35-;7
HT1997;;Arkitektexamen;Total;Total;237
HT1997;;Barn- och ungdomspedagogisk examen;Kvinnor;-24;929
HT1997;;Barn- och ungdomspedagogisk examen;Kvinnor;25-34;337
HT1997;;Barn- och ungdomspedagogisk examen;Kvinnor;35-;161
HT1997;;Barn- och ungdomspedagogisk examen;Kvinnor;Total;1427
HT1997;;Barn- och ungdomspedagogisk examen;Män;-24;191
HT1997;;Barn- och ungdomspedagogisk examen;Män;25-34;66
HT1997;;Barn- och ungdomspedagogisk examen;Män;35-;16
HT1997;;Barn- och ungdomspedagogisk examen;Män;Total;273
HT1997;;Barn- och ungdomspedagogisk examen;Total;-24;1120
HT1997;;Barn- och ungdomspedagogisk examen;Total;25-34;403
HT1997;;Barn- och ungdomspedagogisk examen;Total;35-;177
HT1997;;Barn- och ungdomspedagogisk examen;Total;Total;1700
HT1997;;Barnmorskeexamen;Kvinnor;-24;10
HT1997;;Barnmorskeexamen;Kvinnor;25-34;53
HT1997;;Barnmorskeexamen;Kvinnor;35-;18
HT1997;;Barnmorskeexamen;Kvinnor;Total;81
HT1997;;Barnmorskeexamen;Män;35-;1
HT1997;;Barnmorskeexamen;Män;Total;1
HT1997;;Barnmorskeexamen;Total;-24;10
HT1997;;Barnmorskeexamen;Total;25-34;53
HT1997;;Barnmorskeexamen;Total;35-;19
HT1997;;Barnmorskeexamen;Total;Total;82
HT1997;;Bildlärarexamen;Kvinnor;-24;25
HT1997;;Bildlärarexamen;Kvinnor;25-34;21
HT1997;;Bildlärarexamen;Kvinnor;35-;5
HT1997;;Bildlärarexamen;Kvinnor;Total;51
HT1997;;Bildlärarexamen;Män;-24;3
HT1997;;Bildlärarexamen;Män;25-34;7
HT1997;;Bildlärarexamen;Män;35-;1
HT1997;;Bildlärarexamen;Män;Total;11
HT1997;;Bildlärarexamen;Total;-24;28
HT1997;;Bildlärarexamen;Total;25-34;28
HT1997;;Bildlärarexamen;Total;35-;6
HT1997;;Bildlärarexamen;Total;Total;62
HT1997;;Brandingenjörsexamen;Kvinnor;-24;6
HT1997;;Brandingenjörsexamen;Kvinnor;25-34;1
HT1997;;Brandingenjörsexamen;Kvinnor;Total;7
HT1997;;Brandingenjörsexamen;Män;-24;21
HT1997;;Brandingenjörsexamen;Män;25-34;6
HT1997;;Brandingenjörsexamen;Män;35-;1
HT1997;;Brandingenjörsexamen;Män;Total;28
HT1997;;Brandingenjörsexamen;Total;-24;27
HT1997;;Brandingenjörsexamen;Total;25-34;7
HT1997;;Brandingenjörsexamen;Total;35-;1
HT1997;;Brandingenjörsexamen;Total;Total;35
HT1997;;Civilingenjörsexamen;Kvinnor;-24;1717
HT1997;;Civilingenjörsexamen;Kvinnor;25-34;194
HT1997;;Civilingenjörsexamen;Kvinnor;35-;31
HT1997;;Civilingenjörsexamen;Kvinnor;Total;1942
HT1997;;Civilingenjörsexamen;Män;-24;4109
HT1997;;Civilingenjörsexamen;Män;25-34;653
HT1997;;Civilingenjörsexamen;Män;35-;98
HT1997;;Civilingenjörsexamen;Män;Total;4860
HT1997;;Civilingenjörsexamen;Total;-24;5826
HT1997;;Civilingenjörsexamen;Total;25-34;847
HT1997;;Civilingenjörsexamen;Total;35-;129
